Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
20;True;0;3;2;0,8333713
20;True;1;5;0;0,8333713
20;True;2;5;0;0,8558509
20;True;3;5;0;0,8369759
20;True;4;5;0;0,8063058
20;True;5;5;0;0,7828437
20;True;6;5;0;0,7566118
20;True;7;4;1;0,7402509
20;True;8;5;0;0,7235668
20;True;9;5;0;0,7148901
20;True;10;5;0;0,6990098
20;True;11;5;0;0,6755381
20;True;12;5;0;0,6583206
20;True;13;5;0;0,64508
20;True;14;5;0;0,6238777
20;True;15;4;1;0,6077769
20;True;16;5;0;0,5964353
20;True;17;5;0;0,5766122
20;True;18;5;0;0,5761112
20;True;19;5;0;0,5603536
20;True;20;5;0;0,5480947
20;True;21;4;1;0,5269046
20;True;22;5;0;0,5155277
20;True;23;3;2;0,5041016
20;True;24;5;0;0,487467
20;True;25;5;0;0,4930547
20;True;26;5;0;0,4821577
20;True;27;5;0;0,4915875
20;True;28;4;1;0,4825861
20;True;29;5;1;0,464912
20;True;30;5;0;0,4544827
20;True;31;5;1;0,4377613
20;True;32;5;0;0,4442082
20;True;33;4;1;0,4373802
20;True;34;5;0;0,4240218
20;True;35;4;1;0,4145291
20;True;36;4;1;0,4056775
20;True;37;5;1;0,4051396
20;True;38;5;0;0,3883022
20;True;39;4;1;0,3949232

