Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
1;FALSE;0;5;1;0,8335804
1;FALSE;1;5;0;0,8335804
1;FALSE;2;5;0;0,8484154
1;FALSE;3;5;0;0,8205285
1;FALSE;4;5;0;0,7990868
1;FALSE;5;5;0;0,7729974
1;FALSE;6;5;0;0,7556906
1;FALSE;7;5;0;0,7407483
1;FALSE;8;5;0;0,7162364
1;FALSE;9;5;0;0,7011238
1;FALSE;10;4;1;0,6755581
1;FALSE;11;5;0;0,6487595
1;FALSE;12;5;0;0,6275167
1;FALSE;13;5;0;0,6136295
1;FALSE;14;5;0;0,6181189
1;FALSE;15;5;0;0,59727
1;FALSE;16;5;0;0,5841587
1;FALSE;17;5;0;0,5645041
1;FALSE;18;5;0;0,5539601
1;FALSE;19;5;0;0,5436146
1;FALSE;20;5;0;0,5249203
1;FALSE;21;4;1;0,4978696
1;FALSE;22;5;0;0,4888611
1;FALSE;23;5;0;0,4725692
1;FALSE;24;4;1;0,4620482
1;FALSE;25;5;0;0,4500398
1;FALSE;26;5;0;0,4400133
1;FALSE;27;5;0;0,4575795
1;FALSE;28;5;0;0,440392
1;FALSE;29;5;0;0,4307099
1;FALSE;30;5;0;0,4166245
1;FALSE;31;5;0;0,405474633
1;FALSE;32;5;0;0,393590883
1;FALSE;33;5;0;0,381707133
1;FALSE;34;5;0;0,369823383
1;FALSE;35;4;1;0,357939633
1;FALSE;36;5;0;0,346055883
1;FALSE;37;5;0;0,334172133
1;FALSE;38;3;2;0,322288383
1;FALSE;39;4;1;0,310404633
